หายใจ	หายใจเข้าออก
ทอง	ที่ทำด้วยทอง	ที่เป็นทอง
ที่คล้ายโลหะ	ที่เหมือนโลหะ
ที่ทำด้วยเงิน	เงิน
ที่เป็นอโลหะ	ที่ไม่เป็นโลหะ
นกจาบปีกอ่อนหัวเทาอกชมพู	นกแชฟฟินช์
ทางกิ่ง	ทาบกิ่ง
จุด	แต้ม
ทำให้สกปรก	ทำให้เปื้อน	ทำให้เป็นสีคล้ำ
ดูด	ดูดซับ	ดูดซึม
นกกระจอกบ้าน	นกกระจอกใหญ่
ดูด	ดูดออก
จัดให้นั่ง	ให้นั่ง
จัดที่นั่งใหม่	จัดให้นั่งใหม่
นั่งยอง	นั่งยองๆ
ที่รู้ภาษาเดียว	ที่รู้หนึ่งภาษา
วางแนวตั้ง	วางให้ตั้งขึ้น	วางให้ตั้งทรง
นอนพิง	เอนกาย
นอนทับ	วางทับ
นอนตาแข็ง	นอนไม่หลับ
ดีลีต	ลบ
ขีดฆ่า	ขีดออก
ชำแหละเพื่อศึกษา	ผ่าวิเคราะห์
ตัดแบ่งครึ่ง	ผ่าครี่ง
ทำให้เกิดเเผลเป็น	ทิ้งรอยแผลเป็น	เกิดรอยแผลเป็น
น้อย	เล็กน้อย
ตัดด้วยขวานโทมาฮอว์ก	ผ่าด้วยขวานโทมาฮอว์ก
มากกว่า	มากขึ้น
ส่วนมาก	ส่วนใหญ่
อมตะ	เป็นอมตะ
นกเดินดงสีดำ	นกแบล็คเบิร์ด
ซาบซึ้ง	ซาบซึ้งใจ
ตัดต่อพันธุกรรม	ตัดต่อยีนส์
นกไนติงเกล	ไนติงเกล
วงศ์ซีลวีแด	วงศ์นกกระจ้อยและนกกระจิ๊ด
นกไวต์โทรต	นกไวต์โทรตใหญ่
ซึ่งอยู่กับที่	ที่อยู่นิ่ง
กระทำย่ำยี	ย่ำยี
ถอนราก	ถอนโคน
ปลูกทดแทน	ปลูกป่าทดแทน
นานาชาติ	นานาประเทศ	ระดับอินเตอร์	สากล
ทำให้หายใจไม่ออก	อุดหลอดลม
ตั้ง	แต่งตั้ง
บีบคอ	รัดคอ
ตัดคอ	ตัดศีรษะ	ตัดหัว	บั่นศีรษะ	บั่นหัว
ตัดศีรษะด้วยกิโยตีน	ตัดหัวด้วยกิโยตีน
ที่ถูกย้อม	ที่ย้อมขึ้น
ฉีก	ฉีกเนื้อ
ฉีก	ระเบิด	แตก
นกกาเหว่า	นกแบล็กเบิร์ด
กา	นกกา	อีกา
จำเป็น	ที่จำเป็นอย่างมาก
ที่สำรองไว้อย่างฉุกเฉิน	สำรอง
ขีด	ลาก
ทั้งหมด	โดยรวม
ขีดวงกลมรอบ	ขีดเส้นรอบวง
ติดฉลาก	ติดแท็ก	แปะฉลาก
ประทับตรา	ประทับเครื่องหมายการค้า
ติดรหัส	ติดโค้ด
ติดเข็ม	ติดเข็มสัญลักษณ์	ติดเข็มเครื่องหมาย
ติดบนกระดาน	ติดบอร์ด
นกกระจิบ	นกทิต
ดึงขึ้น	ถลก
คั้น	บีบ
สาง	สางด้วยหวี
กดทับ	ทับ	ทิ้งน้ำหนักตัว
ตีลูกวอลเลย์	วอลเลย์
ตีเบอร์ดี้	ทำเบอร์ดี้	ยิงเบอร์ดี้
ตีอีเกิล	ทำอีเกิล	ยิงดับเบิ้ลเบอร์ดี้	ยิงอีเกิล
ตีโบกี้	ทำโบกี้	ยิงโบกี้
มัดกับลวด	มัดด้วยลวด	มัดลวด
ร้อยกับลวด	ร้อยด้วยลวด
ฉาบซีเมนต์	ฉาบด้วยซีเมนต์	ฉาบปูน
ที่อยู่ทางภาคกลางตอนบน	ที่อยู่ทางภาคกลางตอนเหนือ
ยก	ยืด	เชิด
นกดิปเปอร์	นกวอเตอร์อูเซิล
ตั้งให้บาลานซ์	ตั้งให้สมดุล
ที่ไปทางทิศใต้	ที่ไปทางใต้
ที่อยู่ทางภาคกลางตอนล่าง	ที่อยู่ทางภาคกลางตอนใต้
คล้องบ่วงบาศ	ใช้บ่วงบาศคล้อง
ยึดด้วยข้อต่อ	ใส่ข้อต่อ
พลีชีพ	สังเวยชีวิต
ครูด	ถาก
สกุลเซอร์คัส	เหยี่ยวเซอร์คัส
ฟอลคอน	เหยี่ยวฟอลคอน
หยด	เหยาะ
เหยี่ยวฮอบบี้	เหยี่ยวฮอบบี้ยุโรป
ติดกาว	ติดด้วยกาว
ไล่ออก	ไล่ออกจากสนาม
ฉาบผิวด้วยโลหะ	เคลือบโลหะ
ฆ่าฟัน	เข่นฆ่า
นกแร้ง	อีแร้ง	แร้ง
คลุม	ห่มคลุม
ทำ	สร้าง
นกแร้งดำ	อีแร้งดำหิมาลัย
ทำราง	สร้างราง
นกฮูก	นกเค้าแมว
ทำ	ผลิต
ทำเป็นต้นแบบ	ทำเป็นแบบ
ทำด้วยเครื่องจักร	ใช้เครื่องจักร
ขัด	ฝน
ค้าของเถื่อน	ผลิตของเถื่อน	ผลิตสินค้าละเมิดลิขสิทธิ์
จัดรวบรวม	รวบรวม
จัดแคตาล็อก	รวบรวมเป็นแคตาล็อก
คอมไพล์	แปลโปรแกรม
ก่อ	ก่อเรื่อง
ผลิต	ผลิตกระแสไฟฟ้า
อันดับคอดาตา	อันดับยูโรเดลลา
ทำให้	ส่งผลให้
กุ	ประดิษฐ์
นึกภาพ	เห็นภาพ
คิดฝัน	ฝันกลางวัน	วาดฝัน	วาดวิมานในอากาศ
วางพล็อต	วางพล็อตเรื่อง	วางโครงเรื่อง
ปั๊ม	พิมพ์
อันดับบาตราเคีย	อันดับอะนูรา
ดีไซน์	ออกแบบ
กบ	คางคก	สัตว์จำพวกกบ
ครีเอท	สรรค์สร้าง	สร้างสรรค์
ที่ใช้แล้ว	มือสอง
ดีไซน์	ออกแบบ
ดำเนินการ	ทำให้ลุล่วง	ทำให้สำเร็จ
บุกเบิก	ริเริ่ม
วาด	วาดเส้น
กระตุ้น	กระตุ้่น	กระุตุ้น	เดินเครื่อง
ทำให้เป็นจริง	ทำให้เป็นรูปธรรม
ก่อให้เกิด	ทำ
ที่มีผมสีขาว	ที่มีผมสีเทา
ที่อายุเข้าวัยกลางคน	วัยกลางคน
ก่อเรื่อง	ก่อให้เกิดมลพิษ
ที่หนุ่มยังแน่น	ที่เป็นสาวเป็นแส้	ที่เป็นหนุ่มเป็นสาว	สาว	หนุ่ม	หนุ่มสาว	อ่อนวัย
ที่อายุหนึ่งขวบ	ที่อายุหนึ่งปี
ที่อายุสองขวบ	ที่อายุสองปี
ที่อายุสามขวบ	ที่อายุสามปี
ที่อายุสี่ขวบ	ที่อายุสี่ปี
ที่อายุห้าขวบ	ที่อายุห้าปี
ที่เป็นวัยรุ่น	วัยรุ่น
ตัวน้อย	ตัวเล็ก
เหมือนลูกสุนัข	เหมือนลูกหมา
เล่นท่อนริฟฟ์	เล่นริฟฟ์
เริ่มบรรเลง	เริ่มเล่น
ออกผล	ให้ผล
มีเมล็ด	มีเม็ด
ออกผล	ออกลูก
ทำให้ออกผล	ทำให้ออกลูก
ทำจากวัสดุ	ผลิตจากวัสดุ	สร้างจากวัสดุ	สร้างสรรค์จากวัสดุ
ทำปลอม	ปลอม	ปลอมแปลง
ก่อสร้าง	สร้าง
ทำลายล้าง	ทุบทำลาย
ชำแหละชิ้นส่วน	ถอดชิ้นส่วน	แยกชิ้นส่วน
ขึ้นรูป	ทำให้เป็นรูป	เชฟ
ก่อเนิน	ก่อให้เป็นเนิน
ปลูก	ปลูกสร้าง
ถอนรื้อ	รื้อ	รื้อถอน
อันดับคีโลเนีย	อันดับทีสตูดิเนส
เทพิมพ์หล่อ	เทลงแม่พิมพ์
บ่ม	หมัก	หมักบ่ม
ทำกับข้าว	ทำอาหาร	ประกอบอาหาร	เตรียมอาหาร
ทำรสจัด	ทำรสเผ็ด	ทำเผ็ด
ทำกับข้าว	ทำอาหาร	ประกอบอาหาร
คลุกเคล้า	คลุกให้เข้ากัน
ตัด	ตัดเย็บ
ตัดชุด	ตัดเสื้อ
ออกแบบตามสไตล์	ออกแบบตามแฟชั่น
ปัก	ปักไหม
ประดับขนนก	ประดับด้วยขนนก
ติดธง	ประดับธง
ทอใยแมงมุม	สร้างใยแมงมุม
ถักลูกไม้	ถักโครเชต์
ขมวด	ขมวดปม	ผูกปม
กะปอม	กิ้งก่า	ปอมข่าง
ตอก	ตี
จัด	จัดแต่ง	ตกแต่ง	ตบแต่ง	ประดับ	แต่ง
จัดแต่งจานอาหาร	ตกแต่งจานอาหาร	ตกแต่งอาหาร
ถม	ฝัง
ทาแล็คเกอร์	เคลือบแล็คเกอร์
ติดตราอาร์ม	ติดอาร์ม
แกะ	แกะสลัก
วาดรูป	เพนต์
รังสรรค์	สร้างสรรค์
เขียน	เขียนหนังสือ
เขียนอักษรวิจิตร	เขียนอักษรศิลป์
เขียนตัวหนังสือ	เขียนตัวอักษร	เขียนอักษร
จุด	แต้มจุด
ระบายสีน้ำ	วาดรูปสีน้ำ
ประดับ	ประดับด้วยสี
ทำโมเดล	หล่อ
จระเข้	ไอ้เข้
จระเข้จากอัฟริกา	จระเข้แม่น้ำไนล์
จระเข้น้ำเค็ม	จระเข้เอเชีย
จระเข้ปากกระทุงเหว	ตะโขง
ประพันธ์	รจนา	เขียน	แต่ง
เปลือย	เปล่า
ที่ไม่มีผ้าม่าน	ที่ไม่มีม่าน
เขียนกลอน	แต่งกลอน	แต่งบทกวี
เขียนโคลงซอนเนต	แต่งโคลงซอนเนต
เขียนโคลงสดุดี	แต่งโคลงสดุดี
คล้ายปาก	รูปปาก
เป็นผู้ประพันธ์	เป็นผู้แต่ง
ทำคำอธิบายเพิ่มเติม	เพิ่มคำอธิบายประกอบ
ประพันธ์	ประพันธ์เพลง	เขียนเพลง	แต่ง	แต่งเพลง
เรียบเรียง	เรียบเรียงดนตรี
แต่งทำนอง	แต่งท่วงทำนอง	ใส่ทำนอง
ประสานเสียง	ร้องประสาน	ร้องประสานเสียง
จับระบำรำฟ้อน	ดิ้น	รำ	ร่ายรำ	เต้น	เต้นระบำ	เต้นรำ	แดนซ์
สกุลบรอนโตซอรัส	สกุลอะปาโตซอรัส
ถ่ายวีดีโอ	บันทึกวีดีโอ
สร้างภาพยนตร์	สร้างหนัง
ถ่ายทำภาพยนตร์	ถ่ายภาพยนตร์	ถ่ายหนัง
บรรเลงเดี่ยว	เดี่ยว	แสดงเดี่ยว	โซโล่
แสดงนานๆครั้ง	แสดงไม่บ่อย
ทดสอบการแสดง	ทดสอบบท
สวมบทบาท	เล่นบท
รับบท	แสดงเป็น
ดิวิชันไซโนดอนเทีย	ไซโนดอนเทีย
ดิวิชันดิไซโนดอนเทีย	ดิไซโนดอนเทีย
บรรเลง	เล่น
เล่น	เล่นดนตรี
อันดับย่อยเซอร์เพนเตส	อันดับย่อยโอฟิเดีย
งู	อสรพิษ
ตีคอร์ด	เล่นคอร์ด
เก่าแก่	โบราณ
ขับขาน	ขับร้อง	ร้อง	ร้องเพลง
ขับร้องประสานเสียง	ร้องคอรัส
ที่กำลังจะถึง	ที่ใกล้มาถึง
กำเนิด	จุติ	ลืมตาดูโลก	เกิด
จำลอง	เลียนแบบ
ทำสามสำเนา	ทำสำเนาสามฉบับ
ทำสำเนาสี่ฉบับ	ทำสีสำเนา	ทำสี่สำเนา
ซี	ซีร็อกซ์	ถ่ายเอกสาร
ถ่ายย่อ	ย่อขนาดภาพ
สร้างขึ้นใหม่	สร้างใหม่
รีเพลย์	เล่นซ้ำ
ทำไร่ทำนา	ปลูก
เตรียมดิน	ไถ
ทำสวน	ทำไร่
เตรียมดิน	เตรียมเพาะปลูก	ไถ
คราด	ไถคราด
ก๊อป	ก๊อปปี้	เลียนแบบ
ทำตามแบบ	ทำตามโมเดล	ลอกแบบ
ทำตามมาตราส่วน	สร้างตามมาตราส่วน
จัดฟอร์แมต	จัดรูปแบบ	ฟอร์แมต
จัดตาราง	จัดเป็นตาราง
ตีพิมพ์	ลง
ตีพิมพ์ซ้ำ	พิมพ์ซ้ำ
จัดพิมพ์	พิมพ์
งูจงอาง	งูจงอางอินเดีย
แกะลวดลาย	แกะลาย
งูพิษ	งูแอสป์
ทำหนังสือ	เขียน
ตัด	ตัดเป็นรูป
ชั่วคราว	ไม่ถาวร
คัดลอกข้อมูล	เบิร์น
ชั่วคราว	ซึ่งคั่นเวลา
จงอยปากของนก	จะงอย	จะงอยปาก
เนื้อ	เนื้อชำแหละ
ซากขึ้นอืด	เนื้อเน่าเปื่อย	เนื้อเหม็นเน่า
ซากสัตว์ข้างถนน	ซากสัตว์ริมถนน
เปิดหมวก	เล่นดนตรีเปิดหมวก
ก่อให้เกิดความรู้สึก	ปลุก	ปลุกเร้า	เร้า
กระตุ้น	ปลุกเร้า
กระตุ้นอารมณ์	กระตุ้นอารมณ์ทางเพศ	ปลุกอารมณ์	เล้าโลม
ทำให้ไม่สบายใจ	สับสน
กล่อม	ทำให้สงบ
ปลอบประโลม	ปลอบโยน	ผ่อนผัน	เกลี้ยกล่อม	ไกล่เกลี่ย
ทาน	ทำให้กังวล
กังวล	วิตกกังวล
เดือด	เดือดปุดๆ
มีความรู้สึก	รู้สึก
ภาคภูมิใจ	ภูมิใจ	รู้สึกภาคภูมิใจ	รู้สึกภูมิใจ
ขยะแขยง	ชิงชัง	เกลียด
ดูถูก	ดูหมิ่น	เหยียดหยาม
ซึ่งไม่มีกลีบ	ไร้กลีบดอก
ชอบ	โปรด	โปรดปราน
ชอบ	โปรด	โปรดปราน
ทำให้กลัว	ทำให้ตระหนก
ตัวเห็บ	เห็บ
สกุลซาร์คอปติส	สัตว์จำพวกหมัด
ข่มขู่	บงการ	บังคับ
เคร่ง	เคร่งศาสนา
สติแตก	หมดความอดทน
เขี้ยว	เขี้ยวแมลง
ทนทุกข์จากการไร้ความรู้สึก	หมดสภาพ
ทำให้กลัว	ทำให้ขลาดกลัว
ซึ่งไม่มีลวดลาย	ที่ไม่มีลาย	เรียบๆ
ทำให้โกรธ	สร้างความขุ่นเคือง
ซึ่งมีลวดลาย	ที่มีลาย
ทำให้รำคาญ	สร้างความรำคาญ
ทำให้เดือดดาล	ทำให้โกรธจัด
ทำให้คลั่ง	ทำให้บ้า
กวนประสาท	กวนใจ	ยั่ว	รบกวน
อันดับกัลลิฟอร์เมส	อันดับไก่
กวน	ก่อกวน	ตามตื๊อ	ทำให้รำคาญ	รบกวน
กุ๊กไก่	ไก่	ไก่เลี้ยง
ลูกเจี๊ยบ	ลูกไก่
พ่อไก่	ไก่โต้ง
แม่ไก่ที่พร้อมกกไข่	แม่ไก่พร้อมกกไข่
ทำร้ายความรู้สึก	ทำให้ปวดใจ	ทำให้เจ็บใจ	ทำให้เสียความรู้สึก
ทนทุกข์	ทุกข์ใจ
หัวเสีย	อารมณ์เสีย	โกรธเป็นฟืนเป็นไฟ	โมโหอย่างมาก
สำนึก	สำนึกผิด	เสียใจ
เศร้าโศก	เศร้าโศกเสียใจ	โศกเศร้า
ทำให้ผิดหวัง	ปล่อยให้รอเก้อ
ฉีกหน้า	ทำขายหน้า	ทำให้หน้าแตก	ทำให้อาย
ทำให้ใจสลาย	ทำให้ใจแตกสลาย
ทำลายศักดิ์ศรี	ทำให้ต่ำต้อย	ลดคุณค่า
คร่ำครวญ	รำพันพิลาป
แสดงความรู้สึก	แสดงอารมณ์
ล้อเลียน	หยอกล้อ	แหย่
กวนใจ	รบกวน
คิดถึง	ระลึกถึง	รำลึกถึง
ดึงดูดใจ	มีเสน่ห์
กระทำเป็นปฏิปักษ์	ทำให้เป็นศัตรู
ดึงดูด	ดึงดูดใจ
ตกตะลึง	ทำให้ตกใจ	ประหลาดใจอย่างมาก
ที่มีปลายแหลม	ที่มียอดแหลม
ที่มีปลายเหมือนเข็ม	ที่มีปลายแหลม
ทำให้ขยะแขยง	ทำให้ตกใจ
ที่มีปลายแหลม	แหลม
ที่คล้ายหนาม	ที่เหมือนหนาม
มีความหวัง	หวัง
ที่ไม่มีปลายแหลม	ที่ไม่มียอดแหลม
ทื่อ	ทู่
ปีติยินดี	ยกระดับจิตใจ
ทำให้ดีใจ	ทำให้ยินดี
รู้สึกเศร้า	รู้สึกเสียใจ	เสียใจ
ทำให้ดีใจ	ทำให้มีความสุข
ทำให้มีกำลังใจ	ทำให้เกิดกำลังใจ
ข่มขวัญ	ทำให้เสียขวัญ
ปลอบ	ปลอบขวัญ	ปลอบใจ
สร้างความพอใจ	ให้ความพึงพอใจ
ทำให้ปลาบปลื้ม	ทำให้ปลื้มปิติ	ทำให้หลงใหล
ทำให้ใจกล้า	เชียร์	ให้กำลังใจ
ทำให้ท้อแท้	ทำให้หมดกำลังใจ
ปลาบปลื้ม	เป็นสุข
กวนโทโส	กวนโมโห
มีความสนใจ	รู้สึกสนใจ	สนใจ
เห็นอกเห็นใจ	เห็นใจ
ต้องการ	ประสงค์	ปรารถนา	อยาก
ทะเยอทะยาน	ปรารถนา	มีความทะเยอทะยาน
ชอบ	รู้สึกชอบ
ประสงค์	ปรารถนา
ตาร้อน	อิจฉา	อิจฉาตาร้อน
กลืนน้ำลาย	น้ำลายไหล	มองตาเป็นมัน
ที่ใช้อำนาจ	ที่ใช้อิทธิพล
ที่ไม่มีอำนาจ	ที่ไร้อำนาจ
มีความต้องการ	อยากมีเพศสัมพันธ์	อยากเอา
ชอบ	รัก	สนุก	เพลิดเพลิน
ภาคภูมิใจ	ภูมิใจ	รู้สึกภาคภูมิใจ	รู้สึกภูมิใจ
ผุดผ่อง	ผ่องแผ้ว	ผ่องใส	อิ่มเอิบ	เปล่งปลั่ง
รู้สึกผ่องแผ้ว	รู้สึกอิ่มเอิบ
ขยับ	เคลื่อนไหว	ไหว
นกสวิฟต์	นกแอ่น
ซึ่งหว่านเมล็ด	ซึ่งหว่านเมล็ดพืช
มุดหลบ	หมอบลง	หมอบหลบ
อยู่กับที่	อยู่นิ่ง
เดินทาง	ไป
พลิ้ว	พลิ้วไหว
บินข้าม	บินเหนือ
ขึ้นเครื่อง	นั่งเครื่องบิน	บิน	โดยสารเครื่องบิน
เดินทาง	โดยสาร
ขับเข้าข้างทาง	เข้าข้างทาง
นกตีทอง	นกบาร์เบต
ถ่อแพ	นั่งแพ	ล่องแพ
แล่นไปเรื่อยๆ	ไปเรื่อยๆ
ท่อง	เดินทาง
นั่งเรือ	นั่งเรือโดยสาร
ชักว่าว	เล่นว่าว
นกกรีนวิง	เป็ดปีกเขียว
หลีกทาง	เปิดทาง	ให้ทาง
เป็ดปากสั้น	เป็ดป่า
ทำให้เคลื่อนที่	เคลื่อน	เคลื่อนย้าย
ดูดขึ้น	ปั้มน้ำมัน	ปั๊มขึ้น
ถ่าย	ถ่ายเท	ถ่ายเทใส่ภาชนะ
เป็ดสกู๊ตเตอร์	เป็ดสโกเตอร์	เป็ดสโคเตอร์
เป็ดสโกเตอร์ธรรมดา	เป็ดสโคเตอร์ธรรมดา
ตัก	เท
เป็ดเมอร์แกนเซอร์อกแดง	เมอร์แกนเซอร์อกแดง
ย้าย	ย้ายออก
ห่านจีน	ห่านเทาปากดำ
ย้ายถิ่น	อพยพ
อพยพ	อพยพตามฤดูกาล
ห่าน	ห่านเบรนท์
ห่านป่า	ห่านแคนาดา
ห่านบาร์นาเคิล	ห่านเพรียง
ชัก	ชักสายบังเหียน
หงส์ตัวเมีย	หงส์เพศเมีย
จัมพ์	จัมพ์แบตเตอรี่	จั๊มแบตเตอรี่
หงส์ขาว	หงส์ใบ้
ยับยั้ง	หยุด
ตัด	ตัดฉาก	ตัดภาพ
กลิ้ง	เดินวน
ซึ่งไร้ประโยชน์	ที่ไม่ประสบผล
เดินย่ำ	เดินเหยียบย่ำ
ซัมเมอร์เซาต์	ตีลังกา
ลื่น	ไถล
สัตว์เลี้ยงลูกด้วยน้ำนมที่ออกลูกเป็นไข่	โมโนทรีม
ดัน	ผลัก
ที่ไม่ลึกซึ้ง	ผิวเผิน
มาร์ซูเปียล	สัตว์ที่มีกระเป๋าหน้าท้อง
โคลง	โคลงเคลง	โยก	โยกเยก
แกว่ง	แกว่งไกว	แกว่งไปแกว่งมา	ไกว
ซึ่งมองกาลไกล	ซึ่งล้ำยุค	ซึ่งล้ำสมัย	ที่ก้าวหน้า	ที่รุดหน้า
ซึ่งทันสมัย	ทันยุคทันสมัย	ทันสมัย	ทันเหตุการณ์	ทันโลก	ร่วมสมัย
สวิง	แกว่ง
ผงก	พยักหน้า
จิงโจ้เล็ก	วอลลาบี
สั่นระรัว	สั่นรัว	เต้นรัว	เต้นเร็ว
สั่น	เต้น
ตีเป็นจังหวะ	เคาะเป็นจังหวะ
เร่ร่อน	เร่่ร่อน
เที่ยว	โต๋เต๋
เอียง	เอียงกะเท่เร่
พัด	พัดวี	พัดโบก
ลื่นไถล	สไลด์	ไถล
ยูเทเรียน	สัตว์เลี้ยงลูกด้วยนมที่มีรก
ปศุสัตว์	สัตว์ในฟาร์ม
ลื่นไถล	ไถลลื่น
วัวตัวผู้	วัวเพศผู้
วัวตัวเมีย	วัวเพศเมีย
สัตว์เลี้ยงลูกด้วยนมตัวผู้	สัตว์เลี้ยงลูกด้วยนมเพศผู้
สัตว์เลี้ยงลูกด้วยนมตัวเมีย	สัตว์เลี้ยงลูกด้วยนมเพศเมีย
สะเทือน	สั่น	แผ่นดินไหว
ทำให้สั่นระรัว	ทำให้เต้นระริก
สั่น	เขย่า	เชค
สะเทือน	สั่นสะเทือน	ไหวสะเทือน
ชัก	ชักกระตุก	สั่นกระตุก
สั่นสะเทือน	เขย่า
กระเด้ง	เด้ง
กระเด้ง	เด้ง
กระเถิบ	เขยิบ
เทนเดร็ค	เทนเร็ค
กวน	คน
บั๊มพ์	เต้นบั๊มพ์
เต้นคอนทร้าแดนซ์	เต้นระบำพื้นเมือง
เต้นจังหวะชะชะช่า	เต้นชะชะช่า
เต้นจังหวะรุมบ้า	เต้นรุมบ้า
กิ่งขน	กิ่งขนนก
สะบัด	เขย่า
แผ่น	แผ่นขวาง
ขน	ระบบผมและขน
รำพื้นบ้าน	รำพื้นเมือง	เต้นรำพื้นเมือง
ขนเฟอร์	เฟอร์
เคลือนไหวอย่างรวดเร็ว	เคลื่อนไหวอย่างรวดเร็ว	โผ
จ็อกกิ้ง	วิ่งจ็อกกิ้ง	วิ่งเหยาะๆ
ปลิว	ลอยไปตามกระแส	ล่องลอย
ลอย	ล่องลอย
ไปทางกราบซ้าย	ไปทางซ้าย
คว่ำ	ทำให้ล้ม
สะดุ้ง	สะดุ้งโหยง
ข้าม	เดินทางข้าม
ชั้นแอนโทซัว	แอนโทซัว
ตัดข้าม	เดินตัดข้าม	เดินลัด
เดินวางมาด	เดินเชิด
กะโผลกกะเผลก	เดินกะโผลกกะเผลก	เดินงุ่มง่าม	โขยกเขยก
เดินลากขา	เดินลากเท้า
เดินลากเท้า	เดินไม่ยกเท้า
เดินช้าๆ	เดินเล่น
เดินงอกแง่ก	เดินเตาะแตะ	เตาะแตะ
สวนสนาม	เดินสวนสนาม
เดินก้าวยาว	เดินก้าวยาวๆ
เดินเป็นแถว	เดินเรียงแถว
ปีน	ปีนขึ้นอย่างทุลักทุเล
ขึ้น	ไต่ขึ้น
พยาธิในลำไส้	หนอนพยาธิ
ปีนเขา	ไต่เขา
เดินเขย่ง	เดินเขย่งเท้า
พาอวด	พาไปอวด
เดินกระแทกเท้า	เดินก้าวเท้าหนัก
สกุลสกิสโตโซมา	สัตว์จำพวกปรสิต
ลากเลื้อย	เลี้ยงลูก
หนอนริบบิ้น	ไฟลัมนีเมอเทีย
ก้าว	ย่าง	สเต็ป
พยาธิหนอนกลม	พยาธิไส้เดือนกลม
ขับทดสอบ	ทดสอบสมรรถนะ
ขับรถกินลม	ขับรถชมวิว
กำหนดทิศทาง	นำทาง	มุ่งหน้า
จริง	ที่เป็นจริง
นำทาง	บอกทาง
ต้อนเข้ามุม	ต้อนให้จนมุม
จอด	เข้าจอด
จอดซ้อนคัน	จอดหลังรถ
จอดข้าง	จอดเทียบ
ขี่จักรยาน	ถีบ	ถีบจักรยาน	ปั่น	ปั่นจักรยาน
ขับมอเตอร์ไซค์	ขับรถเครื่อง	ขึ้นมอเตอร์ไซค์	นั่งมอเตอร์ไซค์	นั่งรถเครื่อง
ขึ้นรถไฟ	นั่งรถไฟ	โดยสารรถไฟ
ทาก	ปลิง
ที่ไม่จริง	ที่ไม่ใช่ความจริง
ขี่เลื่อน	นั่งเลื่อน
ที่เหมือนความฝัน	ที่เหมือนฝัน
ขี่เลื่อนสุนัข	นั่งเลื่อนสุนัข
บิน	โบยบิน
ขับเครื่องบิน	บิน
ติดจรวด	พุ่งสูงขึ้นอย่างรวดเร็ว
ขี่เรือ	ขึ้นเรือ	นั่งเรือ	โดยสารเรือ
ขึ้นเรือยอชต์	นั่งเรือยอชต์	โดยสารเรือยอชต์
นั่งเรือใบ	แล่นเรือใบ
กรรเชียง	กรรเชียงเรือ	ตีกรรเชียง	พายเรือ
นั่งเรือแคนู	พายเรือแคนู
นั่งเรือคยัก	พายเรือคยัก
พายเรือ	แจว	แจวเรือ
หอยตะกาย	หอยวงพระจันทร์
ขี่คลื่น	เล่นกระดานโต้คลื่น	เล่นเซิร์ฟบอร์ด	โต้คลื่น
ขึ้นแท็กซี่	นั่งแท็กซี่
ขึ้นรถบัส	ขึ้นรถประจำทาง	ขึ้นรถเมล์	ขึ้นรถโดยสารประจำทาง	นั่งรถบัส	นั่งรถประจำทาง	นั่งรถเมล์	นั่งรถโดยสารประจำทาง
ขนส่ง	ขนส่งสินค้า	ส่งสินค้า
ขนส่งทางอากาศ	ส่ิงทางเครื่องบิน
อันดับอะพลาโคโฟรา	อันดับโซลีโนกาสตรีส
ส่งถีงผู้รับ	ส่งถึงผู้รับปลายทาง
หอยกาบคู่	หอยสองฝา
ขึ้นรถ	นั่ง	นั่งรถ	โดยสารรถ
นั่งรถกินลม	นั่งรถชมวิว	นั่งรถเล่น
นั่งรถโบก	โบกรถ
จอดรับ	รับ
ขี่คอ	ขึ้นบ่า	ขึ้นหลัง
ขี่	นั่ง
ขี่ม้า	ขึ้นหลังม้า
ตีกรรเชียง	ว่ายน้ำท่ากรรเชียง
กระโจน	กระโดด
ทำให้กระโดด	บังคับให้กระโดด
กระโดดข้าม	โดดข้าม
ชั้นเซฟาโลโปดา	เซฟาโลโปดา
กระโดดร่ม	ดิ่งพสุธา	เหินเวหา	โดดร่ม
ตอนกลางคืน	ที่เกิดขึ้นทุกคืน	ในตอนกลางคืน
ในทุกสองสัปดาห์	ในทุกสองอาทิตย์
ในทุกสองสัปดาห์	ในทุกสองอาทิตย์
รายปี	เป็นรายปี
ตก	ไม่ปรากฎเหนือเส้นขอบฟ้า	ไม่ปรากฏเหนือเส้นขอบฟ้า
คุกเข่า	ยอบตัว
ชู	ยก	ยกขึ้น
ดำน้ำ	มุดลงน้ำ
หล่นป๋อม	หล่อจ๋อม
แวะจอด	แวะพัก
นำลงสู่พื้น	ลงจอด	แลนดิ้ง
ตรง	ยืนตรง
ทำให้ตัวตรง	ยืนตัวตรง
ตั้งขึ้น	ทำให้ตั้งขึ้น	ยกให้ตั้งขึ้น
ชูขึ้น	ยกขึ้น
เปลี่ยนท่วงท่า	เปลี่ยนท่า	เปลี่ยนท่าทาง	เปลี่ยนอิริยาบถ
นั่ง	นั่งเก้าอี้
นอน	นอนลง	เอนตัว	เอนหลัง
นอนเหยียดกาย	นอนเหยียดยาว
ตกตะกอน	นอนก้น
ตกตะกอน	ตกตะกอนนอนก้น
จัดตามตำแหน่ง	จัดวาง	จัดโพสิชัน	ทำให้อยู่ในตำแหน่ง
จัดเป็นสี่เหลี่ยม	จัดให้เป็นสี่เหลี่ยม
