00001740-v	หายใจ	หายใจเข้าออก
02522864-v	ดำเนินการจนสำเร็จ	ทำสำเร็จ
02523521-v	ซ้ำชั้น	สอบตก
02524171-v	ประสบความสำเร็จ	ประสบผลสำเร็จ
02525206-a	ซึ่งไม่มีทางตีได้แตก	ซึ่งไม่สามารถทำอันตรายได้
02527651-v	ทำงานชุ่ย	ทำงานมักง่าย	ทำงานลวกๆ	ทำงานสะเพร่า	ทำมักง่าย	ทำลวกๆ	ทำให้เสียหาย	เงอะงะ
02530167-v	พยายาม	เพียรพยายาม
02533834-n	ปลากะตัก	ปลาแองโชวี่
02534734-n	ปลาแซลมอน	แซลมอน
02535093-v	ตามจีบ	ตามตื้อ	ตื้อ
02535457-v	ถอนตัว	แยกตัว
02535896-v	ทำให้เป็นกลางทางการเมือง	วางตัวเป็นกลาง
02536557-v	มีอิทธิพล	ส่งอิทธิพล
02537319-n	ปลาเทราต์สีน้ำตาล	ปลาเทราท์สีน้ำตาล
02537407-v	ขาย	ทรยศ	หักหลัง
02538765-v	ยุ่งเกี่ยว	เข้าแทรกแซง	แทรกแซง
02539788-v	เลี้ยง	เลี้ยงดู
02541302-a	ประชวร	ป่วย	อาพาท	เจ็บป่วย	เจ็บไข้ได้ป่วย
02542141-v	เป็นกระบอกเสียง	เป็นปากเป็นเสียง
02542280-v	ทำตาม	ปฏิบัติตาม
02543034-a	ซึ่งนอนป่วย	ซึ่งล้มป่วย	ซึ่งล้มหมอนนอนเสื่อ
02543874-v	ถ่วงดุล	ลดผลกระทบ
02544274-n	ปลาวูลฟ์ฟิช	ปลาแลนเซตฟิช
02544348-v	เสี่ยงดวง	เสี่ยงโชค
02546467-v	ตระหนักถึงความสำคัญ	เห็นคุณค่า
02547131-a	ที่ปล่อยไว้	ที่ไม่ได้รักษา	ที่ไม่ได้รับการรักษา
02547225-v	ทำให้อับอาย	ทำให้เสียชื่อ
02547586-v	ช่วย	ช่วยเหลือ
02550296-v	ช่วยดูแล	ให้การดูแล
02550868-v	ช่วยชีวิต	บรรเทา
02553697-v	ฝึก	อบรม
02554066-v	ขายตัว	ขายน้ำ	ขายบริการ	ขายบริการทางเพศ	ขายหอย
02554267-a	ซึ่งมีน้ำนม	ซึ่งให้นม
02555434-v	ช่วย	ช่วยเหลือ
02555908-v	ทำให้บังเกิด	มีส่วนทำให้
02557749-n	ปลาวอลอาย	ปลาแจ็คแซลมอน
02558172-v	ขัดขวาง	ยับยั้ง
02559752-v	ขัดขวาง	ยุติ
02561995-v	รับงาน	รับงานมาทำ
02564146-v	ยกเว้น	ให้การยกเว้น
02564426-v	ยกหนี้ให้	ยกให้
02565491-v	ดักหน้า	ตัดหน้า
02565687-v	ก่อกรรมทำเข็ญ	ทำบาป	ทำบาปทำกรรม
02566528-v	ฝ่าฝืน	ละเมิด
02567147-v	ฝ่าฝืน	แหกกฎ
02567519-v	ขืนใจ	ข่มขืน	ข่มขืนกระทำชำเรา	ฉุด	ย่ำยี
02567917-v	รุมโทรม	ลงแขก	เรียงคิวขืนใจ	เรียงคิวข่มขืน	โทรมหญิง
02568392-v	ตุ๋ย	ร่วมเพศทางทวารหนัก	ร่วมเพศทางเว็จมรรค	อัดตูด	อัดถั่วดำ
02570062-v	หาประโยชน์	แสงหาประโยชน์
02570267-v	ตามใจ	พะเน้าพะนอ	โอ๋
02570282-a	โง่	โง่ๆ
02571511-v	ขึ้นบ้าน	งัด	งัดแงะ	ยกเค้า	โจรกรรม
02572667-v	ทอนขาด	แกล้งทอนผิด	ไม่ทอนเงิน
02572823-a	ซึ่งมีต้นไม้ปกคลุม	เป็นป่า
02574977-v	ลอก	ลอกข้อสอบ
02575082-v	คิดไม่ซื่อ	หลอกลวง	ไม่ซื่อสัตย์
02575723-v	หลอก	เล่นตลก
02576110-v	ทำงานฟรีแลนซ์	ทำงานอิสระ	ทำฟรีแลนซ์	รับงานอิสระ
02576503-v	คบชู้	คบชู้สู่ชาย	นอกใจ	มีชู้	สวมเขา
02578008-v	ขุดบ่อล่อปลา	ขุดหลุมพราง	วางกับดัก	หลอกให้ติดกับ
02578235-a	ซึ่งไม่หวั่นไหวกับเรื่องทางโลก	ซึ่งไม่ใช่เรื่องทางโลก
02579469-a	ทอ	ที่ถูกถักทอ
02580449-a	ที่ใช้จนเก่า	ที่ใช้แล้ว
02580577-v	ขายตัว	เป็นหญิงบริการ	เป็นโสเภณี
02581073-v	ข่มขู่	แบล็กเมล์
02582042-v	ดำเนินคดี	ฟ้องคดี	ฟ้องร้อง
02583043-a	ที่เก่าผุ	โกโรโกโส
02583139-v	ก่อกบฏ	ก่อการกบฏ
02583619-a	ที่ดูซอมซ่อ	หลุดลุ่ย
02584097-v	ละทิ้ง	หนี
02584449-n	ปลาปิรันย่า	ปิรันย่า
02585860-v	ทำสำเร็จ	มาถึงความสำเร็จ
02586458-v	ทำเสน่ห์	ทำเสน่ห์ยาแฝด
02589913-a	ที่แบ่งเป็นโซน	ที่แบ่งโซน
02590709-a	แบบสมมาตร	แบบโฮโมเซอคัล
02591594-a	ทีไม่เจียรนัย	ที่ไม่เจียระไน
02591597-v	คอยดูแล	เทกแคร์
02592543-v	ต้อนรับแขก	รับแขก
02592750-a	อาร์เอชลบ	อาร์เอชเนกาทีฟ
02594443-a	ที่ไม่ได้ทำพิธีล้างบาป	ที่ไม่ได้รับศีล
02596493-v	มาอย่างไม่คาดหมาย	มาโดยไม่บอกกล่าว
02597696-a	ที่มีผิวเหมือนกำมะหยี่	เหมือนกำมะหยี่
02597951-a	ที่ไม่มีดอก	ไร้ดอก
02598642-v	คบผู้ชายมากหน้าหลายตา	คบผู้หญิงมากหน้าหลายตา
02599754-v	บุค	ลงบันทึกจองห้องพัก
02600490-v	ใช้	ใช้เป็นเครื่องมือ
02600948-v	เริ่ม	เริ่มต้น	เริ่มที่
02601808-v	ผ่อนคลาย	รีแลกซ์
02601996-v	คลายความเข้มงวด	ลดความเข้มงวด
02602458-v	ทำครึ่งๆกลางๆ	ทำไม่ถึงที่สุด
02602898-v	ดูแล	ดูแลเอาใจใส่
02603056-v	รวม	รวมกลุ่ม	รวมตัว
02603424-v	ก่อให้เกิดปัญหาทางการเงิน	ทำให้มีปัญหาทางการเงิน
02603699-v	ดำรงอยู่	มีอยู่	สถิตอยู่
02604100-v	ดำรงอยู่ก่อน	มีอยู่ก่อน
02604760-v	คือ	เป็น
02608004-v	ติดกัน	ติดกับ
02608176-v	อยู่ติดกัน	อาศัยอยู่ติดกัน
02609764-v	จบ	ยุติ	สิ้นสุด	หยุด	อวสาน
02612368-v	มีอยู่	เกิดขึ้น
02613140-v	ซิตอิน	เข้าฟังบรรยาย
02614387-v	มีชีวิต	ใช้ชีวิต
02615451-v	ทำตามกิเลสตัณหา	ทำตามอำเภอใจ	ปล่อยตัว	ปล่อยเนื้อปล่อยตัว
02615880-v	อาศัยตามพุ่มไม้	อาศัยในพุ่มไม้
02616118-v	อยู่เป็นโสด	เป็นโสด
02616851-n	ปลาวูลฟ์ฟิช	ปลาแคตฟิช
02618149-v	มีชีวิตรอด	รอดชีวิต	รอดตาย
02626762-n	ทูน่า	ปลาทูน่า
02629256-v	ขจัด	ลบล้าง
02629793-v	ครอบคลุม	รวม
02630519-a	คล้ายเพลงแอนติโฟน	คล้ายเพลงแอนตี้โฟน
02631349-v	มีดารานำ	มีดารายอดนิยม
02633534-v	มีค่าเท่ากับ	เท่ากับ
02636516-v	กุม	เก็บไว้ในใจ
02637202-v	พัก	พำนัก
02638845-v	ยึดมั่น	ศรัทธา
02640053-v	ซุ่ม	ดักซุ่ม	แอบซุ่ม
02641035-v	ชะงัก	ลังเล	หยุดชะงัก
02642238-v	ถ่วงเวลา	เตะถ่วง
02642814-v	ชะลอเวลา	เลื่อน
02645007-v	คิดเป็น	มีผลรวม	รวม
02648639-v	พัก	พำนัก
02649220-v	ทำให้เปียกทั่วตัว	ทำให้เปียกโชก
02649600-v	พัก	พักอยู่ชั่วคราว
02649712-v	ครอบครองอย่างผิดกฎหมาย	เข้าถือครอง
02649830-v	อยู่	อาศัย
02650840-v	มีผู้คน	มีผู้คนอาศัยอยู่
02651193-v	อยู่กิน	อยู่ด้วยกัน
02652158-v	ต้อน	ไล่ต้อน
02655958-v	ชัด	ชัดเจน
02656189-v	ให้ที่กบดาน	ให้ที่ซ่อนตัว
02656390-v	จัดที่พักพิงให้	ให้ที่พักพิง
02657219-v	กลมกลืน	ตรงกัน	เหมือนกัน	เห็นด้วย
02657368-n	ปลาซีกเดียว	ปลาลิ้นหมา
02658283-v	ตรวจความถูกต้อง	เช็ค
02658570-v	ตรงกับ	สอดคล้องกับ
02658734-v	ตรงกัน	สอดคล้องกัน
02659222-v	ขนาน	คู่ขนานกัน
02663849-n	ปลาตาเดียว	ปลาโซล
02664769-v	เท่า	เท่ากับ
02665282-v	คล้าย	คล้ายคลึง	ละม้าย
02665543-n	ส่วนอก	ส่วนอกแมลง
02665617-v	ดูคล้าย	หน้าตาเหมือน
02666079-n	ชุดชาวอาหรับ	ชุดอาบา
02666501-n	เรือทิ้งร้าง	เรือร้าง
02666943-n	โรงฆ่าสัตว์	โรงชำแหละ
02667093-n	ชุดอาบาย่า	อาบาย่า
02667558-v	ตกกระแส	ตกยุค	ล้าสมัย	เชย
02667906-n	ยาขับทารก	ยาทำแท้ง	ยาแท้งบุตร
02668523-v	ผิดกฎ	ฝ่าฝืน
02669001-n	จิตรกรรมนามธรรม	ภาพจิตรกรรมนามธรรม	ภาพนามธรรม	ภาพศิลปะนามธรรม	ภาพเชิงนามธรรม	ภาพแอบสแตรค
02669079-n	ศิลปะนามธรรม	ศิลปะแอ็บสแตร็กต์
02669081-v	ดีกว่า	เหนือกว่า
02669477-v	ดีกว่า	เหนือกว่า
02669534-n	ชุดนักศึกษา	ชุดนิสิต	ชุดนิสิตนักศึกษา
02669723-n	ครุย	ชุดครุย	เสื้อครุย
02669885-n	สำนัก	อคาเดมี
02670382-n	ตัวเร่ง	อุปกรณ์เร่งอนู	เครื่องเร่งอนุภาค
02670683-n	คันเร่ง	แป้นเหยียบคันเร่ง
02670935-n	มาตรความเร่ง	มาตรวัดความเร่ง	มิเตอร์วัดความเร่ง
02671062-n	ทางเข้าออก	วิธีการเข้า-ออก
02671988-n	ถนนขึ้นทางด่วน	ถนนขึ้นลงทางด่วน
02672187-v	พอๆกับ	เทียบเทียม	เทียบเท่า
02672831-n	หีบเพลง	เเอคคอร์เีดียน	แอคคอร์เดียน
02674482-n	ยาไทลีนอล	ไทลีนอล
02674912-n	ยาอะซิตานิไลด์	อะซิตานิไลด์
02675354-n	ยาอะซิโตฟีนีติดิน	อะซิโตฟีนีติดิน
02677136-n	สีอะครีลิค	สีอาครีลิค
02677232-n	ยาแอคติเฟด	แอคติเฟด
02677436-n	เครื่องมือวัดความเข้มการแผ่รังสี	แอกติโนมิเตอร์
02677567-v	ดึงเข้าไปเกี่ยว	พาเข้าไปยุ่งเกี่ยว
02678528-n	ยาอะไซโคลเวียร์	ยาโซไวแร็ก	อะไซโคลเวียร์
02679142-n	เครื่องบวก	เครื่องบวกเลข
02679899-v	คงไว้	จรรโลง
02680110-n	พลาสเตอร์ยา	พลาสเตอร์ยาปิดแผล
02681639-v	เลิก	เลิกนิสัย
02682699-n	บันไดกู้ภัย	บันไดดับเพลิง
02682954-v	สนับสนุนทางการเงิน	ให้เงิน	ให้เงินสนับสนุน
02683791-n	อาฟเตอร์เชฟ	โลชั่นหลังโกนหนวด
02684248-n	อะเกตแวร์	อเกตแวร์
02684356-n	เครื่องย่อยวัสดุให้เป็นเม็ด	แอ็กโกลมีราเตอร์
02684962-n	จัตุรัสสาธารณะ	แอโกรา
02684971-a	สวรรค์	แห่งสวรรค์
02685365-n	ถุงลมนิรภัย	แอร์แบ็ก
02686121-n	เครื่องบินแอร์บัส	แอร์บัส
02686379-n	เครื่องปรับอากาศ	แอร์
02686568-n	ยานอากาศ	อากาศยาน
02687172-n	เรือบรรทุกเครื่องบิน	เรือบรรทุกเครื่องบินรบ
02687385-v	อยู่อันดับท็อป	เป็นผู้นำ
02688273-n	หม้อกรองอากาศ	เครื่องกรองอากาศ
02688443-n	เเพนอากาศ	แอร์ฟอยล์	แอโรฟอยล์
02689144-n	แอร์เฟรม	โครงสร้างอากาศยาน	โครงสร้างเครื่องบิน
02689274-n	ปืนลม	ปืนอัดลม
02689434-n	เครื่องสกัดคอนกรีตลม	เครื่องสกัดคอนกรีตแบบใช้ลม
02690081-n	ธุรกิจสายการบิน	สายการบิน	แอร์เวย์	แอร์ไลน์
02691156-n	เครื่อง	เครื่องบิน
02692086-n	ใบพัด	ใบพัดเครื่องบิน
02692105-a	คีเลต	คึเลต
02692232-n	ท่าอากาศยาน	สนามบิน
02692513-n	เครื่องสูบลม	เครื่องไล่อากาศ
02692624-a	ทางเคมี	เคมี
02692686-v	มาก่อน	อยู่ข้างหน้า
02694279-n	ตะเกียงวิเศษ	ตะเกียงอะลาดิน
02696048-n	ติ่งห้อง	มุข
02696384-n	ยาฟอซาแมกซ์	ยาอะเลนโดรเนต	อะเลนโดรเนต
02696503-v	วางเด่น	สูงตระหง่าน
02697120-v	คุกคาม	ทำอันตราย
02697576-n	สกรูฝังหัว	สกรูแบบอัลเลน
02697675-n	ประแจหัวฝัง	ประแจแอล
02698036-n	ยาอัลโลพูรินอล	ยาไซโลพริม
02698726-v	กลับชาติมาเกิด	อวตาร	เกิดใหม่
02698769-n	ยากั้นแอลฟา	ยาปิดกั้นแอลฟา	ยาแอลฟาบล็อกเกอร์
02700767-n	แผ่นอะลูมิเนียม	แผ่นอะลูมิเนียมฟอยล์
02700867-v	บรรจุ	มี
02701002-n	รถพยาบาล	รถพยาบาลฉุกเฉิน
02701628-v	กัก	กักเก็บ
02702166-n	ยาอะมิโนไพรีน	อะมิโนไพรีน
02702304-n	ยาอะมีโอดาโรน	อะมีโอดาโรน
02702368-v	มีความสูง	สูง
02702575-n	ยาอะมิทริบไทลีน	อะมิทริบไทลีน
02702807-a	คอสมิก	ที่เกี่ยวกับคอสมิก	ที่เกี่ยวกับอนุภาคพลังงานสูงจากอวกาศนอกโลก
02703499-n	ยาแอมโมบาร์บิทอล	แอมโมบาร์บิทอล
02703692-n	ยาแอมมีทอล	ยาแอมโมบาร์บิทอลโซเดียม	แอมมีทอล	แอมโมบาร์บิทอลโซเดียม
02704153-n	ยากระตุ้นประสาท	แอมเฟตามีน
02704645-n	เครื่องบินสะเทินน้ำสะเทินบก	เครื่องบินสะเทิ้นน้ำสะเทิ้นบก
02704818-v	มีน้ำหนัก	หนัก
02704928-v	มีความทนทาน	มีอายุการใช้งาน
02704949-n	อัฒจันทร์แบบกรีกและโรมัน	โคลีเซียม
02705429-n	แอมโฟร่า	ไหแอมโฟร่า
02705944-n	อุปกรณ์ขยายสัญญาณ	เครื่องขยายสัญญาณ	แอมปลิไฟเออร์
02706480-a	เกี่ยวกับภาวะเย็นจัด	เย็นยิ่งยวด
02706586-n	ของปลุกเสก	พระเครื่อง	วัตถุมงคล	เครื่องราง
02707987-v	ใช้เวลาวัีนสุดสัปดาห์	ใช้เวลาวัีนหยุดสุดสัปดาห์
02708707-v	หยุดพักผ่อน	ใช้เวลาพักผ่อน
02708923-v	ดื่มน้ำผึ้งพระจันทร์	ฮันนีมูน
02709107-v	อยู่ในคุก	ใช้เวลาในคุก
02709367-n	สมอ	สมอเรือ
02710201-n	มนุษย์ยนต์	หุ่นแอนดรอยด์
02710429-n	มาตรความเร็วลม	เครื่องวัดลม
02711114-v	ปิดล้อม	โอบล้อม
02711543-v	มีรั้วรอบขอบชิด	ล้อมรั้ว
02713003-n	ที่รัดข้อเท้า	แองเกิ้ล
02713097-n	กำไลข้อเท้า	สร้อยข้อเท้า	สายข้อเท้า
02713372-v	ยื่น	ยื่่น
02714315-n	แอโนด	ไฟฟ้าขั้วบวก
02715513-n	ล็อบบี้	ห้องรับรอง	ห้องโถงใหญ่
02717701-v	ลู่	ห้อย
02718845-a	เกี่ยวกับอิเล็คโทรโฟริซิส	เกี่ยวกับอิเล็คโทรโฟรีซิส
02719450-n	ยาแอนติไดยูเรติก	แอนติไดยูเรติก
02719750-n	ยาแก้คลื่นไส้	ยาแก้อาเจียน
02720201-n	ยากำจัดเชื้อรา	ยาฆ่าเชื้อรา	ยาฆ่้าเชื้อรา
02720725-n	ยาต้านฮิสตามีน	ยาแอนติฮิสตามีน
02721438-v	มีความเป็นไปได้	มีโอกาส
02721538-n	ยาต้านการอักเสบ	ยาต้านอักเสบ
02723754-n	ของเก่า	โบราณวัตถุ
02724026-n	ของโบราณ	วัตถุโบราณ
02726305-n	อพาร์ทเมนท์	แฟลต
02726681-n	อพาร์ตเมนต์	อาคารห้องชุด
02726715-a	ซึ่งจับไข้	ซึ่งมีพระปรอท	ซึ่งมีไข้	ซึ่งเป็นไข้
02726717-v	นำความซวยมาให้	นำโชคร้ายมาให้
02727281-n	ยาปลุกเซ็กส์	ยาเร้ากำหนัด
02727566-n	อานม้าเอพิชามอร์	อานเอพิชามอร์
02727825-n	อุปกรณ์	เครื่อง	เครื่องมือ
02727883-v	ขาย	จำหน่าย
02728440-n	ชุด	ผ้านุ่ง	ผ้าผ่อน	อาภรณ์	เสื้อผ้า
02728784-v	ค้า	เทรด
02729222-n	รถเข็นผลไม้	รถเข็นแอปเปิ้ล
02729632-v	เทียบ	เปรียบ
02729965-n	อุปกรณ์	อุปกรณ์ทุ่นแรง	เครื่องจักรกล	เครื่องมือ	เครื่องมือเครื่องไม้
02730982-a	ที่เป็นฟอสซิล	ฟอสซิล
02731390-v	ตกอยู่กับ	ตกอยู่ใน
02731629-n	สคูบ้า	อุปกรณ์ช่วยหายใจ
02732072-n	ตู้ปลา	พิพิธภัณฑ์สัตว์น้ำ
02732798-v	จุ	รองรับ
02732827-n	ซุ้ม	ซุ้มไม้
02733075-n	สวนพฤกษชาติ	สวนพฤกษศาสตร์
02733524-n	อาร์ช	โค้ง
02735086-n	ที่เก็บเอกสารสำคัญ	หอจดหมายเหตุ
02735688-n	พื้นที่	แอเรีย
02736798-n	ถุงเท้าถักลายข้าวหลามตัด	ถุงเ้ท้าถักลายข้าวหลามตัด
02738535-n	อาร์มแชร์	เก้าอี้เท้าแขน
02739123-n	สร้อยอาร์มิลลา	อาร์มิลลา
02740061-n	รถขนเงิน	รถบรรทุกเงิน
02740533-n	พาหนะหุ้มเกราะ	ยานหุ้มเกราะ	ยานเกราะ
02741367-n	กรมช่างแสง	คลังแสง	โรงงานผลิตอาวุธ
02741475-n	ที่เท้าแขน	เท้าแขน
02741546-v	ทำให้ติด	ออกแบบให้รับได้
02742322-n	เครื่องนุ่งห่ม	เครื่องแต่งกาย
02742753-n	พระแสงศร	ลูกธนู	ลูกศร	ลูกเกาทัณฑ์	ศร
02743207-n	คลังแสง	คลังแสงสรรพาวุธ
02743426-n	คลังแสง	อาวุธยุทโธปกรณ์
02743547-n	งานศิลปะ	งานศิลป์	ผลงานศิลปะ	ไฟน์อาร์ท
02744061-v	คุกคาม	เข้ามาคุกคาม
02745395-n	ดอกไม้ประดิษฐ์	ดอกไม้ปลอม
02745486-v	ยอมรับ	สามารถมีได้
02746365-n	ปืนใหญ่	อาวุธหนัก
02748618-n	ยาแอสไพริน	อะซีทิลซาลิไซลิกแอซิด	แอสไพริน
02749768-v	ห่อคลุม	ห่อศพ
02750835-n	ยาสมานแผล	ยาห้ามเลือด
02752311-n	สถานที่แข่งกีฬา	สถานที่แข่งขันกีฬา	สนามแข่ง	สนามแข่งขันกีฬา
02752695-v	สรุป	สรุปรวบยอด
02753044-n	ระเบิดปรมาณู	ระเบิดพลูโตเนียม	ระเบิดอะตอม
02753881-n	ระเบิดนิวเคลียร์	หัวรบนิวเคลียร์
02754103-n	ขวดฉีดพ่น	ขวดสเปรย์
02755452-v	ตื่นตัวทางเพศ	เกิดความรู้สึกทางเพศ	เกิดอารมณ์	เกิดอารมณ์ทางเพศ
02755565-v	ร้อนตับแตก	ร้อนตับแลบ	ร้อนอย่างกับเตาอบ
02756359-v	สังกัด	อยู่ในสังกัด	เป็นสมาชิก
02756558-v	ฝนตก	ฝนลง	ฝนลงเม็ด
02756821-v	ตก	ตกลงมา
02756854-n	ออดิโอแอมพลิไฟเออร์	เครื่องขยายเสียง
02756977-n	ตลับเทป	ม้วนเทป	เทปเสียง
02757462-n	ระบบเสียง	เครื่องเสียง
02757651-v	ฝนตกไม่ขาดสาย	ฝนตกไม่ขาดเม็ด
02757810-n	เทปบันทึกเสียง	แถบบันทึกเสียง
02757828-v	ฝนซา	ฝนตกปรอยๆ	โปรยปราย
02758033-v	ตกหนัก	ฝนตกกระหน่ำ	ฝนตกหนัก	ฝนลงหนัก	ฝนเทลงมา
02758399-v	ตกกระหน่ำ	ไหลทะลัก
02758490-n	สว่าน	สว่านมือ
02758581-v	ปกคลุมด้วยน้ำแข็ง	มีน้ำแข็งปกคลุม
02758753-n	อุปกรณ์ประดับยนต์	อุปกรณ์แต่งรถ
02759614-v	จุด	จุดไฟ
02760139-v	ก่อกองไฟ	ก่อไฟ
02760495-v	ดับเทียน	เป่าเทียน
02760622-v	ลุกไหม้	ไหม้
02760658-n	ปืนพก	ปืนพกออโตเมติก
02760855-n	ปืนกล	ปืนไรเฟิลออโตเมติก
02761034-n	ระบบเกียร์ออโตเมติก	ระบบเกียร์อัตโนมัติ
02761134-v	ติด	ติดไฟ
02761372-v	จุด	ทำให้ลุกเป็นไฟ
02761696-n	โรงงานผลิตรถยนต์	โรงงานอุตสาหกรรมยานยนต์
02761897-v	ดับ	ดับเพลิง	ดับไฟ
02762468-v	เผา	เผาไหม้
02762806-v	จรัสแสง	ลุกวูบวาบ
02763083-n	ปั๊มช่วย	ปั๊มเสริม
02763604-n	กรงนกขนาดใหญ่	กรงสัตว์ปีก	บริเวณสงวนพันธุ์นก
02764245-v	ลุกพรึบ	ลุกวาบ
02764765-v	ส่องแสง	ส่องแสงระยิบระยับ
02764779-n	เพลา	แกน
02765656-n	ยาซิโทรแม็กซ์	ยาอะซีโทรมัยซิน
02766168-n	ผ้าคลุมศีรษะบาบุชก้า	ผ้าโพกศีรษะ
02766320-n	เตียงนอนทารก	เตียงนอนเด็กทารก
02766534-n	รถเข็นทารก	รถเข็นเด็ก
02766687-v	ปล่อยประกายไฟ	สปาร์ก
02766792-n	เบบี้แกรนด์เปียโน	แกรนด์เปียโนขนาดเล็ก
02767116-v	แผ่คลื่น	แผ่รังสี
02767147-n	รองเท้าทารก	รองเท้าเด็กอ่อน
02767433-n	ที่พิง	พนักพิง	พนักพิงหลัง
02767922-v	พ่น	พ่นควัน
02768226-n	แป้นบาส	แป้นบาสเกตบอล
02768579-v	คายน้ำ	ปล่อยไอน้ำ
02769075-n	ภาพพื้นหลัง	เดสก์ทอป
02770721-n	ที่เกาหลัง	ไม้เกาหลัง
02771020-v	มีเมฆปกคลุม	มืดครึ้ม
02771547-n	แบ็กสต็อป	แผงกั้นด้านหลัง
02771756-v	เหือดแห้ง	แห้งเหือด
02771888-v	เต็มไปด้วยหมอก	เป็นฝ้า
02772197-n	สนามหญ้าหลังบ้าน	สวนหลังบ้าน
02772435-n	คอร์ตแบด	คอร์ตแบดมินตัน	สนามแบด	สนามแบดมินตัน
02772700-n	แร็กเก็ตแบดมินตัน	ไม้แบด	ไม้แบดมินตัน
02772868-n	กะบัง	แผงกั้นหน้าลำโพง
02774152-n	กระเป๋า	กระเป๋าถือ	กระเป๋าถือสตรี
02774502-n	ของประดับไร้ค่า	สิ่งไร้สาระ
02775483-n	ปี่	ปี่สก็อต
02776205-n	เหยื่อ	เหยื่อล่อ
02776631-n	ร้านขนมปัง	ร้านขนมเค้ก	ร้านขายขนมปัง	ร้านขายขนมอบ	ร้านเบเกอรี่
02776825-n	หมวกไอ้โม่ง	ไอ้โม่ง
02778669-n	บอล	ลูก	ลูกบอล
02779435-n	บอล	ลูกบอล
02782093-n	บอลลูน	บัลลูน
02782329-n	ลูกโป่ง	ลูกโป่งสวรรค์
02783161-n	ปากกาลูกลื่น	ลูกลื่น
02784124-n	บานานาโบต	เรือกล้วย
02787772-n	ตึกธนาคาร	ธนาคาร	แบงค์
02788148-n	ราวบันได	ราวระเบียง
02788689-n	บาร์	แท่ง
02790154-n	คานทรงตัว	บาร์
02790669-n	ตะแกรงย่างบาร์บีคิว	บาร์บีคิว
02791124-n	เก้าอี้ตัดผม	เก้าอี้ร้านตัดผม
02791270-n	ร้านตัดผม	ร้านตัดผมชาย
02791894-n	กรดไดเอทีลบาร์บิทูริก	บาร์บิทอล	บาร์บิโทน	ยาบาร์บิทอล	ยาบาร์บิโทน	ไดเอทีลบาร์บิทูริกแอซิด
02792049-n	บาร์บิทูเรต	ยาบาร์บิทูเรต
02792552-n	เรือกัญญา	เรือลำเลียงสินค้า
02793089-n	บาริโทน	บาริโทนฮอร์น
02793273-a	ทางวิทยาศาสตร์	วิทยาศาสตร์
02794008-n	บารอกราฟ	เครื่องวัดความกดอากาศแบบกราฟ
02794156-n	บารอมิเตอร์	เครื่องวัดความกดอากาศ
02796995-n	ร้านเหล้า	ห้องโถง
02797295-n	รถเข็น	รถเข็นล้อเดียว
02797692-n	ฐาน	แท่น
02798290-n	ฐานทัพ	ฐานที่มั่น	ฐานปฏิบัติการ
02799323-n	หมวกกอล์ฟ	หมวกจ็อกกี้	หมวกเบสบอล
02799593-n	สนามด้านใน	สนามเบสบอล
02799897-n	อุปกรณ์เบสบอล	เครื่องกีฬาเบสบอล
02800497-n	ชั้นใต้ดิน	ห้องใต้ดิน
02800793-n	ของใช้จำเป็น	ของใช้ที่จำเป็น	ของใช้ในชีวิตประจำวัน
02801047-n	บาซิลิกา	บาซิลิกาของโรมัน
02802215-n	ห่วง	ห่วงบาส	ห่วงบาสเกตบอล
02802426-n	ลูกบาส	ลูกบาสเก็ตบอล
02802544-n	สนามบาส	สนามบาสเกตบอล
02802976-a	เกี่ยวข้องกับดวงดาว	แห่งดวงดาว
02803666-n	กลองเบส	กลองใหญ่
02804590-a	ชานเมือง	แถบชานเมือง
02804610-n	บาสซูน	ปี่ใหญ่
02805490-a	ตื้น	ที่ระดับพื้นผิว
02806992-n	สถานที่อาบน้ำ	โรงอาบน้ำ
02807401-n	ผ้าเช็ดตีน	พรมเช็ดเท้า
02807731-n	ห้องน้ำ	ห้องสรง	ห้องอาบน้ำ
02808304-n	ซับพระองค์	ผ้าเช็ดตัว
02809364-n	ไม้บาตอง	ไม้สำหรับวาทยากร
02809605-n	คฑาดรัมเมเยอร์	ไม้ดรัมเมเยอร์
02810471-n	แบต	แบตเตอรี่
02811350-n	หมวกป้องกันศีรษะผู้ตี	หมวกแบตเตอร์
02811842-n	ธงรบ	ธงสงคราม
02812949-n	ดาบปลายปืน	มีดปลายปืน
02813399-n	มุขหน้าต่างเหลี่ยม	หน้าต่างยื่นเป็นมุข
02814224-n	บอลชายหาด	ลูกบอลชายหาด
02814533-n	รถตู้ห้าประตู	รถยนต์ส่วนตัวท้ายยาว	รถแวน
02814774-n	ชุดชายหาด	เครื่องนุ่งห่มชายหาด
02814860-n	กระโจมไฟ	ประภาคาร	หอคอยที่มีไฟเตือนภัย
02817650-n	ที่ตี	ที่ใช้ตี	อุปกรณ์สำหรับตี
02818832-n	ที่นอน	พระแท่นบรรทม	เตียง	เตียงนอน
02819474-n	แปลง	แปลงปลูก	แปลงปลูกพืช
02820210-n	ที่นอนหมอนมุ้ง	เครื่องนอน
02820798-n	หลังคาแดง	โรงขังคนบ้า	โรงพยาบาลบ้า	โรงพยาบาลประสาท	โรงพยาบาลโรคจิต
02821030-n	ผ้าที่ใช้กับที่นอน	ผ้าที่ใช้กับเตียง	ผ้าที่ใช้กับเตียงนอน
